year,occ_desc,sex1,sex2,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2022,revenue specialist,all,females,3845,3845
2022,public relations/corporate communications professional,all,females,4557,4280
2022,public relations/corporate communications professional,all,males,5905,5600
2022,technical sales professional,all,females,5495,4849
2022,technical sales professional,all,males,6197,5485
2022,medical and pharmaceutical products sales professional,all,females,5749,4477
2022,medical and pharmaceutical products sales professional,all,males,5650,4859
2022,ict sales and services professional,all,females,11250,9959
2022,ict sales and services professional,all,males,10080,9017
2022,sales professionals (institutional sales of financial products),all,females,5681,5271
2022,sales professionals (institutional sales of financial products),all,males,13873,12061
2022,commodities and freight trader,all,males,10060,10000
2022,commodities and ship broker,all,males,13333,11037
2022,systems analyst,all,females,6207,5895
2022,systems analyst,all,males,7014,6500
2022,"software, web and multimedia developer",all,females,6771,6000
2022,"software, web and multimedia developer",all,males,7617,6558
2022,applications/systems programmer,all,females,5797,5499
2022,applications/systems programmer,all,males,6210,5906
2022,ict quality assurance specialist,all,females,4500,4439
2022,ict quality assurance specialist,all,males,4635,4600
2022,database administrator,all,females,3253,3182
2022,database administrator,all,males,7484,7480
2022,database architect,all,males,10000,10000
2022,"network, servers and computer systems administrator",all,females,5458,4500
2022,"network, servers and computer systems administrator",all,males,5530,5134
2022,"computer network, infrastructure and platform professional",all,females,5883,5604
2022,"computer network, infrastructure and platform professional",all,males,6667,6228
2022,cybersecurity professional,all,females,7940,7538
2022,cybersecurity professional,all,males,7058,6709
2022,advocate/solicitor (practising),all,females,8733,8233
2022,advocate/solicitor (practising),all,males,10833,10029
2022,"in-house legal counsel (except judiciary, ministries and statutory boards)",all,females,12972,12011
2022,"in-house legal counsel (except judiciary, ministries and statutory boards)",all,males,14343,12913
2022,librarian,all,females,6446,6446
2022,psychologist,all,females,5284,4400
2022,social service professional,all,females,4332,3400
2022,social service professional,all,males,4440,3600
2022,counsellor (family),all,females,4000,3838
2022,author and related writer,all,females,4910,4665
2022,author and related writer,all,males,5340,4865
2022,content writer,all,females,5010,4915
2022,"producer (stage, film, television, game, commercial, video and radio)",all,females,6320,5175
2022,"producer (stage, film, television, game, commercial, video and radio)",all,males,8000,8000
2022,assistant electrical engineer,all,males,3778,3555
2022,assistant electronics engineer,all,males,3021,2721
2022,assistant mechanical engineer,all,males,3452,3242
2022,assistant manufacturing engineer,all,females,4115,3000
